text,dimension,keyed_pole,weight,order
与陌生人交流让我充满能量,IE,E,1,1
长时间独处能让我恢复精力,IE,I,1,2
参加聚会比独处更让我兴奋,IE,E,1,3
在嘈杂环境中我容易感到疲惫,IE,I,1,4
遇到问题喜欢与他人讨论,IE,E,1,5
需要时间思考后再开口,IE,I,1,6
从外部活动中获得动力,IE,E,1,7
更喜欢安静的环境工作,IE,I,1,8
主动发起社交活动,IE,E,1,9
避免成为人群焦点,IE,I,1,10
通过对话理清思路,IE,E,1,11
通过写下来理清思路,IE,I,1,12
结识新朋友让我感到兴奋,IE,E,1,13
亲密小圈子让我更安心,IE,I,1,14
空闲时会主动约人一起做事,IE,E,1,15
空闲时更愿意独自做喜欢的事,IE,I,1,16
在会议上我倾向于多发言,IE,E,1,17
在会议上我倾向于多倾听,IE,I,1,18
公开表达观点不会让我紧张,IE,E,1,19
更喜欢私下表达观点,IE,I,1,20
我倾向于依赖具体事实与数据,SN,S,1,21
我常常寻找模式与可能性,SN,N,1,22
注重细节胜过概念,SN,S,1,23
对抽象想法更感兴趣,SN,N,1,24
喜欢按步骤解决问题,SN,S,1,25
喜欢跳跃式构思解决方案,SN,N,1,26
记得具体的名字和数字,SN,S,1,27
更容易记住意义和关联,SN,N,1,28
相信经验胜过灵感,SN,S,1,29
相信直觉能给出正确方向,SN,N,1,30
先看现在能做的事情,SN,S,1,31
更关注未来能成为的样子,SN,N,1,32
偏好已验证的方法,SN,S,1,33
愿意尝试新奇未证的做法,SN,N,1,34
描述事物时使用事实细节,SN,S,1,35
描述事物时使用愿景与隐喻,SN,N,1,36
对规范流程有安全感,SN,S,1,37
对探索未知感到兴奋,SN,N,1,38
修正小错误让我满足,SN,S,1,39
构想蓝图让我满足,SN,N,1,40
做决定时优先考虑逻辑与公平,TF,T,1,41
做决定时优先考虑他人的感受,TF,F,1,42
直接指出问题比委婉更好,TF,T,1,43
避免伤害他人比直言更重要,TF,F,1,44
接受批评不会影响情绪,TF,T,1,45
他人感受会影响我的选择,TF,F,1,46
规则应该一视同仁执行,TF,T,1,47
特殊情况需要人性化处理,TF,F,1,48
讨论中我关注事实与论据,TF,T,1,49
讨论中我关注关系与氛围,TF,F,1,50
冲突时坚持原则,TF,T,1,51
冲突时先缓和关系,TF,F,1,52
评价时以标准为依据,TF,T,1,53
评价时以价值与影响为依据,TF,F,1,54
解决问题不带情绪更有效,TF,T,1,55
共情能带来更好的解决,TF,F,1,56
愿意为了正确而不受欢迎,TF,T,1,57
愿意为了和谐而调整立场,TF,F,1,58
说服别人时用数据论证,TF,T,1,59
说服别人时用故事打动,TF,F,1,60
我喜欢按计划开展工作,JP,J,1,61
我喜欢保持选择的开放性,JP,P,1,62
提前做决定让我安心,JP,J,1,63
尽量延迟决定以收集更多信息,JP,P,1,64
任务完成比保持灵活更重要,JP,J,1,65
灵活应对变化比按部就班更好,JP,P,1,66
清单与日程能提高效率,JP,J,1,67
即兴行动能带来灵感,JP,P,1,68
更喜欢明确的截止日期,JP,J,1,69
更喜欢弹性的交付时间,JP,P,1,70
看重组织与结构,JP,J,1,71
看重适应与随机应变,JP,P,1,72
讨厌临时变化,JP,J,1,73
享受即兴变化,JP,P,1,74
完成事情后再开始新的任务,JP,J,1,75
并行处理多项任务也OK,JP,P,1,76
把事情定下来让我安心,JP,J,1,77
保留选择让我安心,JP,P,1,78
文件与空间保持整洁,JP,J,1,79
凌乱但能找到所需,JP,P,1,80